Image,Song,Artist,Last Week,Peak Position,Weeks on Chart
https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-golden-ozh-180x180.jpg,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1,1,10
https://charts-static.billboard.com/img/2025/02/alexwarren-vcb-ordinary-jb8-180x180.jpg,Ordinary,Alex Warren,2,1,29
https://charts-static.billboard.com/img/2016/08/morgan-wallen-eos-180x180.jpg,What I Want,Morgan Wallen Feat. Tate McRae,3,1,15
https://charts-static.billboard.com/img/2025/07/sajaboysandrewchoineckwavdannychungkevinwoosamuillee-bpl-180x180.jpg,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",4,4,10
https://charts-static.billboard.com/img/2025/07/sajaboysandrewchoineckwavdannychungkevinwoosamuillee-bpl-180x180.jpg,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",5,5,9
https://charts-static.billboard.com/img/2025/01/ravynlenae-qqs-lovemenot-et7-180x180.jpg,Love Me Not,Ravyn Lenae,6,5,22
https://charts-static.billboard.com/img/2025/06/sabrina-carpenter-l0r-manchild-cmz-180x180.jpg,Manchild,Sabrina Carpenter,14,1,12
https://charts-static.billboard.com/img/2023/07/teddyswims-vl5-losecontrol-4kx-180x180.jpg,Lose Control,Teddy Swims,7,1,106
https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-180x180.jpg,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",10,9,9
https://charts-static.billboard.com/img/2024/08/lady-gaga-p9u-diewithasmile-6og-180x180.jpg,Die With A Smile,Lady Gaga & Bruno Mars,11,1,54
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Daisies,Justin Bieber,8,2,7
https://charts-static.billboard.com/img/2025/04/morgan-wallen-eos-justincase-eos-180x180.jpg,Just In Case,Morgan Wallen,9,2,23
https://charts-static.billboard.com/img/2024/04/shaboozey-2wm-abarsongtipsy-bat-180x180.jpg,A Bar Song (Tipsy),Shaboozey,13,1,72
https://charts-static.billboard.com/img/2024/11/shaboozey-2wm-goodnews-c3j-180x180.jpg,Good News,Shaboozey,12,12,40
https://charts-static.billboard.com/img/2024/10/leonthomas-y3w-mutt-ch5-180x180.jpg,Mutt,Leon Thomas,15,12,30
https://charts-static.billboard.com/img/2025/02/morgan-wallen-eos-imtheproblem-wfr-180x180.jpg,I'm The Problem,Morgan Wallen,16,2,30
https://charts-static.billboard.com/img/2024/02/bensonboone-o55-beautifulthings-vvt-180x180.jpg,Beautiful Things,Benson Boone,17,2,83
https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-igotbetter-8s9-180x180.jpg,I Got Better,Morgan Wallen,19,7,15
https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-180x180.jpg,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",20,19,9
https://charts-static.billboard.com/img/2024/06/chappellroan-2d8-pinkponyclub-14t-180x180.jpg,Pink Pony Club,Chappell Roan,18,4,63
https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-180x180.jpg,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",25,21,9
https://charts-static.billboard.com/img/2025/04/bigxthaplug-b0q-alltheway-z2y-180x180.jpg,All The Way,BigXthaPlug Feat. Bailey Zimmerman,33,4,21
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,Free,"Rumi, JINU, EJAE & Andrew Choi",23,23,9
https://charts-static.billboard.com/img/2025/04/sombr-kpn-undressed-en9-180x180.jpg,Undressed,sombr,27,24,21
https://charts-static.billboard.com/img/2024/06/billie-eilish-wnf-birdsofafeather-7iy-180x180.jpg,Birds Of A Feather,Billie Eilish,22,2,67
https://charts-static.billboard.com/img/2014/04/sza-ijb-180x180.jpg,Luther,Kendrick Lamar & SZA,21,1,40
https://charts-static.billboard.com/img/2021/10/bensonboone-o55-180x180.jpg,Mystical Magical,Benson Boone,30,17,18
https://charts-static.billboard.com/img/2018/04/dojacat-cim-180x180.jpg,Jealous Type,Doja Cat,-,28,1
https://charts-static.billboard.com/img/2025/05/mariahthescientist-d3c-burningblue-pst-180x180.jpg,Burning Blue,Mariah the Scientist,36,25,17
